user_id,age,target
277440,18,0
18482619,18,0
18517708,18,0
48983738,19,1
66939249,19,1
74539774,19,1
54145810,19,0
41668946,19,0
68157520,19,0
56668432,19,0
67646276,19,0
61259268,19,0
75099958,19,0
60954781,19,0
56043026,19,0
50981665,19,0
55017692,19,0
34856692,19,0
75122715,20,0
33148577,20,0
75612223,20,0
73243920,20,0
59465646,20,0
56854973,20,0
18570128,20,0
75706605,20,0
54788590,20,0
75038846,20,0
60822125,20,0
59478708,20,0
4857248,20,0
60151882,20,0
69739454,20,0
61900613,20,0
50173422,20,0
57496577,20,0
18615360,20,0
47578037,20,0
53380640,20,0
22759655,20,0
66778697,21,0
58175840,21,0
912932,21,0
56785944,21,0
47203623,21,0
49456474,21,0
42108145,21,0
26330464,21,0
30211898,21,0
75391519,21,0
29212392,21,0
53957668,21,0
74763688,21,0
29680756,21,0
32122524,21,0
41976183,21,0
26953633,21,0
48973222,21,0
42796222,21,0
18701738,21,0
75988261,21,0
74833433,21,0
58653093,21,0
72046457,21,0
56215281,21,0
74437440,21,0
34613124,21,0
20195205,21,0
74431140,21,0
41189749,21,0
9192837,21,0
51330040,21,0
64844933,21,0
56443791,21,0
19924258,21,0
48190723,21,0
7922232,21,0
47961459,21,0
74621955,21,0
74691461,21,0
19117367,21,0
39231268,21,0
47276737,21,0
49808169,21,0
48007912,22,1
53317001,22,1
59202982,22,1
37359188,22,1
74863115,22,0
43868041,22,0
41748295,22,0
56132635,22,0
61150418,22,0
54576288,22,0
56911508,22,0
63880644,22,0
62782330,22,0
45853215,22,0
58833920,22,0
74333526,22,0
18163684,22,0
75241674,22,0
22628533,22,0
73692864,22,0
23040557,22,0
1701936,22,0
18592711,22,0
50631345,22,0
74482956,22,0
30351097,22,0
21582530,22,0
22309083,22,0
74069111,22,0
50728166,22,0
39725897,22,0
36145372,22,0
66029372,22,0
55038698,22,0
24283003,22,0
50943819,22,0
55768803,22,0
41608001,22,0
47549883,22,0
65017747,22,0
7337721,22,0
53928414,22,0
49661451,22,0
25304234,22,0
37108752,22,0
46585474,22,0
67446147,22,0
73203331,22,0
63576142,22,0
74667756,22,0
44812631,22,0
6590999,22,0
20736326,22,0
39042561,22,0
31719003,22,0
20252978,22,0
3657252,22,0
72093815,22,0
54536676,22,0
32801938,22,0
74182586,22,0
50325228,22,0
75186892,23,1
64899294,23,1
65054117,23,1
54178160,23,1
56610518,23,0
36799558,23,0
50468085,23,0
58270073,23,0
65808589,23,0
29174910,23,0
46045264,23,0
33025717,23,0
28121253,23,0
27063320,23,0
28572421,23,0
61715666,23,0
21389033,23,0
56248794,23,0
4040124,23,0
43258532,23,0
44862290,23,0
74303941,23,0
578528,23,0
74895424,23,0
74907074,23,0
1208140,23,0
66363670,23,0
9190733,23,0
57697393,23,0
47630900,23,0
51897242,23,0
20292825,23,0
66932365,23,0
74742591,23,0
42358060,23,0
75518926,23,0
53646257,23,0
74465577,23,0
56753708,23,0
74344073,23,0
6998439,23,0
74655765,23,0
75427814,23,0
62085264,23,0
28654746,23,0
74044908,23,0
68583865,23,0
1730729,23,0
75244112,23,0
61549964,23,0
42361611,23,0
40063128,23,0
62694907,23,0
72446041,23,0
69243263,23,0
74746703,23,0
19034402,23,0
42651353,23,0
25020241,23,0
68278213,23,0
55170034,23,0
40687434,23,0
36603517,23,0
15253645,23,0
72198509,23,0
73913946,23,0
1751469,23,0
43400533,23,0
1342196,23,0
46529799,23,0
21102044,23,0
36000553,23,0
45553672,23,0
40617116,23,0
51118449,23,0
43772162,23,0
62722147,23,0
63512694,23,0
1465896,23,0
42427682,23,0
37475489,23,0
6899964,23,0
26027986,23,0
59172095,23,0
45561140,23,0
14499602,23,0
54198325,23,0
9073395,23,0
36655230,23,0
74804946,23,0
73123320,23,0
71595391,23,0
46706622,23,0
64244948,23,0
42796985,23,0
45326067,23,0
55846547,23,0
41782981,23,0
5251860,23,0
46402358,23,0
62100115,23,0
42645859,24,1
59633081,24,1
56909252,24,1
42721987,24,1
30038529,24,1
14675942,24,1
52809144,24,1
65876666,24,0
33455712,24,0
63252926,24,0
52241327,24,0
26691245,24,0
52320709,24,0
8736377,24,0
62319839,24,0
47191892,24,0
19392955,24,0
4652542,24,0
18951087,24,0
41851066,24,0
74392370,24,0
47577837,24,0
68911959,24,0
74926128,24,0
51993969,24,0
58325211,24,0
49481129,24,0
33302856,24,0
17711419,24,0
26478511,24,0
43747007,24,0
16716324,24,0
57803893,24,0
49802630,24,0
18551171,24,0
20897629,24,0
47457536,24,0
32351727,24,0
76332746,24,0
47673674,24,0
15052636,24,0
47464948,24,0
60000074,24,0
75110831,24,0
75326376,24,0
15671117,24,0
75057929,24,0
75211913,24,0
63505733,24,0
62857223,24,0
46616897,24,0
37301488,24,0
49172712,24,0
52589282,24,0
18565053,24,0
31061241,24,0
74562220,24,0
9320016,24,0
7145519,24,0
30267209,24,0
35920484,24,0
69418511,24,0
44347918,24,0
74877227,24,0
1952526,24,0
74769231,24,0
8954305,24,0
43510601,24,0
58990536,24,0
72931487,24,0
75020740,24,0
44342435,24,0
75142014,24,0
76073403,24,0
22622741,24,0
31447764,24,0
38321356,24,0
54019971,24,0
43552539,24,0
39842550,24,0
45646985,24,0
9015045,24,0
39243315,24,0
59618298,24,0
53809056,24,0
38789108,24,0
56956428,24,0
39182028,24,0
41672707,24,0
52204293,24,0
33129362,24,0
37171017,24,0
7884180,24,0
28312478,24,0
47466657,24,0
4908470,24,0
54846497,24,0
74605933,24,0
75051110,24,0
75150823,24,0
19037675,24,0
34639801,24,0
45236169,24,0
16094637,24,0
55103772,24,0
50467599,24,0
60814110,24,0
44014083,24,0
6643218,24,0
49784374,24,0
20217722,24,0
7437671,24,0
68186112,24,0
52224763,24,0
5486059,24,0
62834496,24,0
15045454,24,0
62286305,24,0
18644877,24,0
43420145,24,0
45296766,24,0
39399340,24,0
6697895,24,0
1641340,24,0
57463889,24,0
32621329,24,0
17840070,24,0
47682232,24,0
49721640,24,0
16049177,24,0
47669747,24,0
57728518,24,0
16987904,24,0
74491032,24,0
52599416,24,0
56646067,24,0
41770829,24,0
18962396,24,0
64181405,24,0
23190279,24,0
39693473,24,0
74951886,24,0
19231754,24,0
25592602,24,0
15937896,24,0
41843465,24,0
6864921,24,0
34575961,24,0
54129317,24,0
9498514,24,0
34251988,24,0
39862783,24,0
67466107,24,0
53811434,24,0
7704827,24,0
31222335,24,0
7385967,24,0
18835206,24,0
29283117,24,0
15276595,24,0
41554282,24,0
50802703,24,0
30612852,24,0
16643625,24,0
75295939,24,0
46770313,24,0
64898163,24,0
15316402,24,0
34469099,24,0
43671717,24,0
74331066,24,0
22913796,25,1
65757193,25,1
20025627,25,1
61412558,25,1
74551245,25,1
56879450,25,1
28761030,25,1
31509413,25,1
75802038,25,1
38695673,25,1
67401921,25,1
21306852,25,1
69696730,25,1
32174157,25,1
41948661,25,1
42488129,25,1
23875804,25,1
52627983,25,1
75476598,25,1
72716332,25,0
9511529,25,0
41301821,25,0
42457376,25,0
9196035,25,0
43220989,25,0
38805830,25,0
64372436,25,0
54918354,25,0
43860194,25,0
17876297,25,0
73639537,25,0
38818660,25,0
60554336,25,0
18790540,25,0
44674377,25,0
4902811,25,0
76314907,25,0
26299144,25,0
52079261,25,0
35944352,25,0
32856269,25,0
14646230,25,0
63177688,25,0
33065369,25,0
70472399,25,0
6038983,25,0
25511513,25,0
62278145,25,0
58751960,25,0
49148063,25,0
7947729,25,0
48936302,25,0
63408063,25,0
54338973,25,0
37875249,25,0
69862345,25,0
6886063,25,0
74291929,25,0
14500452,25,0
38371575,25,0
43552892,25,0
35546790,25,0
33623978,25,0
20649691,25,0
50830401,25,0
21397299,25,0
63029638,25,0
42734642,25,0
18885983,25,0
54792814,25,0
32017363,25,0
39845426,25,0
24720874,25,0
30147625,25,0
53331505,25,0
5129512,25,0
61327900,25,0
45220516,25,0
7889481,25,0
7410951,25,0
24946092,25,0
60829263,25,0
75052802,25,0
7026485,25,0
74193536,25,0
17013004,25,0
6902230,25,0
27135414,25,0
74446098,25,0
65929003,25,0
75789789,25,0
75249844,25,0
72680319,25,0
49411311,25,0
43788727,25,0
15714272,25,0
38046382,25,0
4310049,25,0
20698508,25,0
62320103,25,0
47256947,25,0
67334777,25,0
55105195,25,0
23238727,25,0
75947927,25,0
74992106,25,0
74334520,25,0
4441108,25,0
52700307,25,0
57966564,25,0
3485089,25,0
42163199,25,0
45213992,25,0
62868898,25,0
24784605,25,0
6117149,25,0
64875960,25,0
25378107,25,0
51842224,25,0
75510747,25,0
26463259,25,0
15416575,25,0
42441082,25,0
41752010,25,0
7316273,25,0
50599079,25,0
74778754,25,0
60927529,25,0
41517316,25,0
20113425,25,0
8819137,25,0
34213417,25,0
43295627,25,0
20704188,25,0
74985528,25,0
73130819,25,0
74853431,25,0
21220978,25,0
3611383,25,0
9217274,25,0
29298688,25,0
50337594,25,0
62597933,25,0
27959028,25,0
6866578,25,0
20712527,25,0
19991366,25,0
56533148,25,0
74476062,25,0
31368528,25,0
71527135,25,0
36817149,25,0
48964916,25,0
74829825,25,0
49978918,25,0
65837770,25,0
74805518,25,0
76162731,25,0
17041131,25,0
54076534,25,0
73732381,25,0
48069150,25,0
22537826,25,0
67392727,25,0
7793577,25,0
43219259,25,0
66469764,25,0
64241362,25,0
57863642,25,0
38584874,25,0
44398759,25,0
66889801,25,0
3448926,25,0
75091107,25,0
65862595,25,0
1686648,25,0
3456934,25,0
74639983,25,0
74767385,25,0
31355276,25,0
50098060,25,0
16120738,25,0
60074106,25,0
75133775,25,0
18070664,25,0
74134434,25,0
70239654,25,0
19333554,25,0
19844927,25,0
22136610,25,0
75601696,25,0
